id,账号,姓名,性别,电话号码,密码,邮箱,用户级别
1,wywy,冯飞扬,男,13011116230,a123456,kuparine@att.net,VIP
2,Kaile,金宏硕,男,13012723164,linkedin,teverett@verizon.net,VIP
3,peter,钱音华,女,13041069984,ashley1,heckerman@gmail.com,普通用户
4,volans,傅嘉玉,女,13067089458,marina,skippy@optonline.net,VIP
5,old_fox,史力夫,男,13086627535,superman,nelson@att.net,普通用户
6,rainbow,许巧春,女,13095428150,sunshine1,smartfart@yahoo.ca,普通用户
7,wzhengrong,于嘉许,男,13099416679,1qaz2wsx,agolomsh@optonline.net,普通用户
8,jansenzhu,袁曼语,女,13108480008,passw0rd,carcus@live.com,普通用户
9,cloudy,傅阳成,男,13110648948,asdf,monopole@verizon.net,VIP
10,water,阎立轩,男,13123982065,princess1,brbarret@hotmail.com,普通用户
11,xiucai,余雅昶,男,13125390383,121212,sherzodr@sbcglobal.net,VIP
12,shaohua,丁俊侠,男,13128701081,sunshine,sfoskett@outlook.com,VIP
13,wangang,谭宏扬,男,13131920246,654321,drjlaw@msn.com,VIP
14,yehao,于吉敏,女,13140400483,killer,stomv@live.com,普通用户
15,river99,范同和,男,13149913443,1234567890,brainless@sbcglobal.net,普通用户
16,zhy,贾奇致,男,13152112424,112233,kingjoshi@msn.com,VIP
17,chill,崔雅逸,男,13187777930,azerty,pspoole@att.net,VIP
18,cadcjl,白烨伟,男,13195324879,password,thomasj@yahoo.ca,普通用户
19,Lancelot,宋英发,男,13195392673,shadow,jkegl@msn.com,VIP
20,fstao,范天睿,男,13205680974,123456789,yenya@verizon.net,普通用户
21,jing,宋天翰,男,13219873161,monkey1,jfinke@outlook.com,普通用户
22,LaoZheng,孔文轩,男,13229991118,123456,jmorris@comcast.net,VIP
23,barton,陈嘉实,男,13237159535,1g2w3e4r,ajlitt@comcast.net,普通用户
24,JamesChen,戴英豪,男,13260007096,michael1,balchen@msn.com,VIP
25,sworder,林翰墨,男,13260902860,FQRG7CS493,gfody@yahoo.ca,普通用户
26,caili,秦阳飇,男,13261593855,zag12wsx,munjal@hotmail.com,普通用户
27,hmaik,彭盼丹,女,13263896324,soccer,drewf@comcast.net,普通用户
28,bruin,孔子薇,女,13271511857,superman1,curly@sbcglobal.net,VIP
29,vc1999,乔韶容,女,13286650357,jordan,jimxugle@live.com,普通用户
30,larry,邵霞文,女,13309862246,hello,paina@icloud.com,VIP
31,manager,熊景福,男,13347600108,abcd1234,ebassi@gmail.com,普通用户
32,woody,段冰蝶,女,13386211955,bitch1,kobayasi@comcast.net,普通用户
33,amo,谭香露,女,13392325645,baseball,credmond@att.net,VIP
34,util,姚旭尧,男,13407920464,7777777,jaxweb@mac.com,VIP
35,Lamb,毛水香,女,13428369197,justin,rogerspl@optonline.net,普通用户
36,lcx119,孙志强,男,13429656595,,zeller@icloud.com,普通用户
37,Cindy,郝文昌,男,13432385743,qwe123,mastinfo@yahoo.com,普通用户
38,gaven_yeung,毛昱瑛,女,13433594066,summer,shang@comcast.net,普通用户
39,bamyl,毛向萍,女,13436570925,asshole1,matsn@optonline.net,VIP
40,hexi,龙刚豪,男,13470002720,myspace1,brainless@verizon.net,普通用户
41,hephaestus,漕志国,男,13475129857,tinkle,cumarana@mac.com,VIP
42,new_power,赵梓涵,女,13488151772,1111,hling@outlook.com,VIP
43,jackaly,秦弘阔,男,13501039264,fuckyou1,brainless@me.com,普通用户
44,Alan,蔡安康,男,13505372684,1234,techie@sbcglobal.net,普通用户
45,SiMAN,郑秋芳,女,13510246672,baseball1,milton@outlook.com,VIP
46,oldidler,江飞羽,男,13521494814,babygirl1,raines@msn.com,VIP
47,bison,魏敏学,男,13525204024,987654321,daveed@att.net,VIP
48,Barkley,孔恬萍,女,13552922334,qwer1234,mthurn@msn.com,普通用户
49,webptg,吕瑞锦,女,13565877413,131313,jespley@me.com,VIP
50,jase,白莉娜,女,13584892354,amanda,singh@hotmail.com,普通用户
51,terrisa,姚清昶,女,13585924571,charlie,wagnerch@att.net,普通用户
52,czhp,万华奥,男,13600074749,5201314,stewwy@yahoo.com,VIP
53,kujile,郑和宜,男,13601151633,11111111,simone@optonline.net,VIP
54,nj75,段华皓,男,13605183920,999999,kudra@hotmail.com,VIP
55,leslieshen,胡荣轩,男,13605670449,1234qwer,benanov@optonline.net,普通用户
56,wuhc99,曹承载,男,13608715265,a12345,netsfr@verizon.net,VIP
57,llbllb,马含烟,女,13613002260,123456789,jginspace@yahoo.com,VIP
58,hubdog,董梦洁,女,13627749900,welcome,jhardin@optonline.net,普通用户
59,fifi,邓盼波,女,13628470609,987654321,oneiros@att.net,普通用户
60,caocao,叶顾萌,女,13630043504,apple,murdocj@msn.com,VIP
61,sevecol,阎尔珍,女,13651950572,jennifer,breegster@outlook.com,VIP
62,bruce,汪怀柔,女,13661526932,0,amcuri@icloud.com,VIP
63,xxc2000,夏晔晔,女,13682595059,iloveyou2,schwaang@me.com,普通用户
64,jamstang,林乐贤,男,13682639664,11111,johndo@yahoo.ca,VIP
65,netswordsman,孙梨落,女,13697039588,xbox360,mosses@att.net,普通用户
66,zava,刘奇志,男,13710202748,monkey,boomzilla@live.com,普通用户
67,Elkel,崔曾琪,男,13710214359,asdfgh,rsteiner@hotmail.com,VIP
68,richard,魏子墨,男,13724478021,blink182,dobey@verizon.net,VIP
69,cb,傅志芳,女,13751367709,password12,kingjoshi@comcast.net,普通用户
70,hjx,许怡丞,女,13781765106,fuckyou2,thomasj@icloud.com,普通用户
71,woodmouse,刘天亦,女,13804942049,qwerty12,afeldspar@comcast.net,VIP
72,wgsvc,戴乐湛,男,13810307784,789456,keiji@msn.com,普通用户
73,liaomy,孔文乐,男,13829798565,123qwe,skythe@mac.com,VIP
74,Energy,廖旦娅,女,13834508923,50cent,malattia@aol.com,VIP
75,Feb2_Bird,黎盼芙,女,13840943293,147258,kwilliams@sbcglobal.net,VIP
76,Eie,郭华晖,男,13841799632,1234567,smpeters@aol.com,VIP
77,free,孙正阳,男,13854759067,love,ubergeeb@aol.com,普通用户
78,cxfidc,吴力行,男,13901845032,555555,jsbach@outlook.com,VIP
79,myj,于暖梦,女,13902335923,0,fbriere@gmail.com,普通用户
80,Cant,潘涵育,男,13922324309,zxcvbnm,jgwang@yahoo.com,普通用户
81,neverlate,姚洛妃,女,13925498702,tigger,purvis@comcast.net,普通用户
82,main,董芊丽,女,13925942977,friends,aegreene@outlook.com,普通用户
83,netsky,郭茂实,男,13938143254,qwerty,johnbob@yahoo.ca,普通用户
84,xinyue,尹新晴,女,13956364191,matthew,hwestiii@me.com,普通用户
85,east,何如心,女,13971574519,chelsea,mgreen@optonline.net,普通用户
86,CSDN,熊光济,男,14715765181,1q2w3e4r,frosal@msn.com,普通用户
87,bearold,李成益,男,14725803696,qazwsx,temmink@yahoo.ca,VIP
88,talkme,杨清淑,女,14729856509,money1,codex@outlook.com,VIP
89,lyislm,沈丽文,女,15010746088,master,guialbu@msn.com,普通用户
90,coolman,史元明,男,15014408543,michael,mdielmann@aol.com,普通用户
91,tengel,赖靖巧,女,15018469091,102030,brickbat@aol.com,普通用户
92,yfyang,许胜花,女,15021908471,hunter,dodong@gmail.com,VIP
93,SoftDIY,侯恺乐,男,15078233864,1q2w3e,wonderkid@me.com,VIP
94,mikecool,常高妍,女,15079407347,myspace,noneme@hotmail.com,VIP
95,604sworder,张艾达,女,15093407913,buster,rgiersig@comcast.net,VIP
96,lighttop,张燕平,女,15124304756,hello1,dmiller@msn.com,VIP
97,PII,孔开济,男,15140129681,88888888,yzheng@hotmail.com,普通用户
98,rss,袁正平,男,15167940007,1q2w3e4r5t,choset@aol.com,普通用户
