id,账号,姓名,性别,电话号码,密码,邮箱,用户级别
1,wywy,冯飞扬,男,13011116230,a123456,kuparine@att.net,VIP
2,Kaile,金宏硕,男,13012723164,linkedin,teverett@verizon.net,VIP
4,volans,傅嘉玉,女,13067089458,marina,skippy@optonline.net,VIP
9,cloudy,傅阳成,男,13110648948,asdf,monopole@verizon.net,VIP
11,xiucai,余雅昶,男,13125390383,121212,sherzodr@sbcglobal.net,VIP
12,shaohua,丁俊侠,男,13128701081,sunshine,sfoskett@outlook.com,VIP
13,wangang,谭宏扬,男,13131920246,654321,drjlaw@msn.com,VIP
16,zhy,贾奇致,男,13152112424,112233,kingjoshi@msn.com,VIP
17,chill,崔雅逸,男,13187777930,azerty,pspoole@att.net,VIP
19,Lancelot,宋英发,男,13195392673,shadow,jkegl@msn.com,VIP
22,LaoZheng,孔文轩,男,13229991118,123456,jmorris@comcast.net,VIP
24,JamesChen,戴英豪,男,13260007096,michael1,balchen@msn.com,VIP
28,bruin,孔子薇,女,13271511857,superman1,curly@sbcglobal.net,VIP
30,larry,邵霞文,女,13309862246,hello,paina@icloud.com,VIP
33,amo,谭香露,女,13392325645,baseball,credmond@att.net,VIP
34,util,姚旭尧,男,13407920464,7777777,jaxweb@mac.com,VIP
39,bamyl,毛向萍,女,13436570925,asshole1,matsn@optonline.net,VIP
41,hephaestus,漕志国,男,13475129857,tinkle,cumarana@mac.com,VIP
42,new_power,赵梓涵,女,13488151772,1111,hling@outlook.com,VIP
45,SiMAN,郑秋芳,女,13510246672,baseball1,milton@outlook.com,VIP
46,oldidler,江飞羽,男,13521494814,babygirl1,raines@msn.com,VIP
47,bison,魏敏学,男,13525204024,987654321,daveed@att.net,VIP
49,webptg,吕瑞锦,女,13565877413,131313,jespley@me.com,VIP
52,czhp,万华奥,男,13600074749,5201314,stewwy@yahoo.com,VIP
53,kujile,郑和宜,男,13601151633,11111111,simone@optonline.net,VIP
54,nj75,段华皓,男,13605183920,999999,kudra@hotmail.com,VIP
56,wuhc99,曹承载,男,13608715265,a12345,netsfr@verizon.net,VIP
57,llbllb,马含烟,女,13613002260,123456789,jginspace@yahoo.com,VIP
60,caocao,叶顾萌,女,13630043504,apple,murdocj@msn.com,VIP
61,sevecol,阎尔珍,女,13651950572,jennifer,breegster@outlook.com,VIP
62,bruce,汪怀柔,女,13661526932,0,amcuri@icloud.com,VIP
64,jamstang,林乐贤,男,13682639664,11111,johndo@yahoo.ca,VIP
67,Elkel,崔曾琪,男,13710214359,asdfgh,rsteiner@hotmail.com,VIP
68,richard,魏子墨,男,13724478021,blink182,dobey@verizon.net,VIP
71,woodmouse,刘天亦,女,13804942049,qwerty12,afeldspar@comcast.net,VIP
73,liaomy,孔文乐,男,13829798565,123qwe,skythe@mac.com,VIP
74,Energy,廖旦娅,女,13834508923,50cent,malattia@aol.com,VIP
75,Feb2_Bird,黎盼芙,女,13840943293,147258,kwilliams@sbcglobal.net,VIP
76,Eie,郭华晖,男,13841799632,1234567,smpeters@aol.com,VIP
78,cxfidc,吴力行,男,13901845032,555555,jsbach@outlook.com,VIP
87,bearold,李成益,男,14725803696,qazwsx,temmink@yahoo.ca,VIP
88,talkme,杨清淑,女,14729856509,money1,codex@outlook.com,VIP
92,yfyang,许胜花,女,15021908471,hunter,dodong@gmail.com,VIP
93,SoftDIY,侯恺乐,男,15078233864,1q2w3e,wonderkid@me.com,VIP
94,mikecool,常高妍,女,15079407347,myspace,noneme@hotmail.com,VIP
95,604sworder,张艾达,女,15093407913,buster,rgiersig@comcast.net,VIP
96,lighttop,张燕平,女,15124304756,hello1,dmiller@msn.com,VIP
99,ameng,罗飞虎,男,15177296615,888888,dieman@comcast.net,VIP
100,chenlq,史敏才,男,15200153084,gwerty,mddallara@outlook.com,VIP
101,Liying,郭绣文,女,15204074525,angel1,claypool@icloud.com,VIP
102,cyf,叶白枫,女,15214774448,1,jbryan@sbcglobal.net,VIP
104,tinymouse,郝千青,女,15221379336,!,atmarks@icloud.com,VIP
105,sequoia,魏文墨,女,15224091845,696969,citadel@verizon.net,VIP
106,flying,秦贞芳,女,15225229414,michelle,jmcnamara@msn.com,VIP
108,coder,卢永康,男,15233340083,159753,andrewik@me.com,VIP
109,fromeast,丁弘扬,男,15251055187,daniel,burns@sbcglobal.net,VIP
112,chenzhuangyuan,阎博明,男,15321116656,iloveyou,msloan@comcast.net,VIP
114,iamafraid,文靖柔,女,15329486400,123456q,tsuruta@yahoo.ca,VIP
115,cch,吴听寒,女,15330628640,147258369,jramio@verizon.net,VIP
116,Pizza,谭盈盈,女,15339999544,anthony,bryam@msn.com,VIP
119,zxjiang,文文敏,女,15514906957,maggie,drewf@comcast.net,VIP
120,jxl,田新知,男,15530942744,123654,rgiersig@att.net,VIP
121,CrazyDragon,廖修诚,男,15532433238,12345,retoh@outlook.com,VIP
124,menxin,田英勋,男,15656821642,jessica,jnolan@msn.com,VIP
126,lh,许明旭,男,15673218868,asd123,peterhoeg@sbcglobal.net,VIP
127,Landy,邱晗日,男,15685620522,football,parrt@aol.com,VIP
129,ChK,马高原,男,15800230091,iloveyou1,purvis@me.com,VIP
131,Zboy,李和志,男,15805230091,333333,kuparine@yahoo.ca,VIP
138,snow,胡善芳,女,15926203351,george,tjensen@aol.com,VIP
140,think,姜宏浚,男,15962253642,qwerty123,suresh@verizon.net,VIP
145,mainroad,梁宇寰,男,15989754116,123123,jbearp@verizon.net,VIP
146,hh,周婷旭,女,15996418498,joshua,wetter@mac.com,VIP
149,siclj,高宜人,男,17152339756,12345678,cremonini@sbcglobal.net,VIP
154,haidong,龙星火,男,17703719130,jordan23,natepuri@icloud.com,VIP
155,wangsf,赵慧琴,女,17710623231,nicole,subir@icloud.com,VIP
158,Michael,汤景山,男,17801137498,abc123,inico@yahoo.com,VIP
159,kxy,叶新巧,女,17818561115,golfer,niknejad@optonline.net,VIP
161,hexz,尹渲染,女,18060103200,666,mbrown@verizon.net,VIP
162,huzi,杜秀梅,女,18101690276,naruto,rfisher@att.net,VIP
172,Crane,许燕岚,女,18434298371,freedom,emmanuel@yahoo.ca,VIP
177,onion,袁鸿云,男,18610585509,qwertyuiop,mschilli@yahoo.ca,VIP
178,teapot,贺柔雅,女,18618241130,1111111111,william@att.net,VIP
181,Jimy,冯靖琪,男,18680161890,123456789a,kenja@gmail.com,VIP
182,sunsun,石博容,男,18685068698,ashley,zilla@me.com,VIP
183,BlackSword,孙浩荡,男,18696117896,computer,aprakash@live.com,VIP
184,Demon,李梓珊,女,18737113982,qazwsxedc,bartak@aol.com,VIP
185,5201314,李含双,女,18747894028,basketball,rkobes@att.net,VIP
186,lifeng56,熊山雁,女,18801042024,number1,tellis@live.com,VIP
187,nick,阎新美,女,18860233030,password2,andrewik@msn.com,VIP
188,atu,漕映颖,女,18874906994,loveme,cameron@icloud.com,VIP
189,Aswind,赖锐利,男,18876240222,gwerty123,frikazoyd@gmail.com,VIP
190,Pront,汪鸿达,男,18888378052,123123123,ivoibs@me.com,VIP
191,WebBar,蒋海雪,女,18888928757,purple,esokullu@att.net,VIP
192,michaelyang,陆安安,女,18900302191,asdasd,weidai@gmail.com,VIP
193,leslie,贺艳蓉,女,18905426669,29rsavoy,pkilab@verizon.net,VIP
194,ming,张梦曼,女,18960875266,111222,ilikered@live.com,VIP
195,AlanChen,任岚风,女,18970875269,1111111,hedwig@verizon.net,VIP
196,lhxu,王志业,男,18988767966,666666,bonmots@live.com,VIP
197,rose,曹爱琴,女,19918390551,andrea,cremonini@hotmail.com,VIP
198,flyingboy,薛飞薇,女,19983207129,q1w2e3r4,ajohnson@live.com,VIP
